District,crop_name,crop_type,Area,Production
GAYA,Bottle Gourd,vegetables,1200,1200
GOPALGANJ,Bottle Gourd,vegetables,1200,23500
JAMUI,Bottle Gourd,vegetables,310,6613.33
JEHANABAD,Bottle Gourd,vegetables,510,10098
KAIMUR (BHABUA),Bottle Gourd,vegetables,407,8140
KATIHAR,Bottle Gourd,vegetables,1416,27915.43
KHAGARIA,Bottle Gourd,vegetables,510,10404
KISHANGANJ,Bottle Gourd,vegetables,520,10400
LAKHISARAI,Bottle Gourd,vegetables,-,-
MADHEPURA,Bottle Gourd,vegetables,910,17694.44
MADHUBANI,Bottle Gourd,vegetables,610,11996.66
MUNGER,Bottle Gourd,vegetables,610,11488.33
MUZAFFARPUR,Bottle Gourd,vegetables,1690,36782.35
NALANDA,Bottle Gourd,vegetables,1000,21777.77
NAWADA,Bottle Gourd,vegetables,650,13371.42
PASHCHIM CHAMPARAN,Bottle Gourd,vegetables,1550,34513.33
PATNA,Bottle Gourd,vegetables,9600,21773.19
PURBI CHAMPARAN,Bottle Gourd,vegetables,1200,26571.42
PURNIA,Bottle Gourd,vegetables,1110,21090
ROHTAS,Bottle Gourd,vegetables,512,9420.8
SAHARSA,Bottle Gourd,vegetables,1101,23521.36
SAMASTIPUR,Bottle Gourd,vegetables,1012,23984.4
SARAN,Bottle Gourd,vegetables,1009,20180
SHEIKHPURA,Bottle Gourd,vegetables,303,5252
SHEOHAR,Bottle Gourd,vegetables,610,11793.34
SITAMARHI,Bottle Gourd,vegetables,1215,23287.5
SIWAN,Bottle Gourd,vegetables,901,17419.34
SUPAUL,Bottle Gourd,vegetables,202,4747
VAISHALI,Bottle Gourd,vegetables,1701,40023.53
ARARIA,Brinjal,vegetables,705,13923.25
ARWAL,Brinjal,vegetables,410,9737.53
AURANGABAD,Brinjal,vegetables,1105,22528.39
BANKA,Brinjal,vegetables,800,17400
BEGUSARAI,Brinjal,vegetables,2812,58936
BHAGALPUR,Brinjal,vegetables,1700,36000
BHOJPUR,Brinjal,vegetables,1200,28900
BUXAR,Brinjal,vegetables,812,17153.5
DARBHANGA,Brinjal,vegetables,2504,51700
GAYA,Brinjal,vegetables,1601,1600
GOPALGANJ,Brinjal,vegetables,1420,30400
JAMUI,Brinjal,vegetables,610,12502.48
JEHANABAD,Brinjal,vegetables,720.7,14091.04
KAIMUR (BHABUA),Brinjal,vegetables,609.9,14514.5
KATIHAR,Brinjal,vegetables,1811,1811
KHAGARIA,Brinjal,vegetables,1208,29797.33
KISHANGANJ,Brinjal,vegetables,615,12646.77
LAKHISARAI,Brinjal,vegetables,-,-
MADHEPURA,Brinjal,vegetables,1600.35,33900
MADHUBANI,Brinjal,vegetables,2100,42995.26
MUNGER,Brinjal,vegetables,790,16491.25
MUZAFFARPUR,Brinjal,vegetables,2910,36726.2
NALANDA,Brinjal,vegetables,7220,148458.87
NAWADA,Brinjal,vegetables,1790,26651.11
PASHCHIM CHAMPARAN,Brinjal,vegetables,1950,43875
PATNA,Brinjal,vegetables,1900,48768.98
PURBI CHAMPARAN,Brinjal,vegetables,1700,38568.75
PURNIA,Brinjal,vegetables,1106,20918.91
ROHTAS,Brinjal,vegetables,1012,19025.6
SAHARSA,Brinjal,vegetables,1310,28920.77
SAMASTIPUR,Brinjal,vegetables,2310,58525.34
SARAN,Brinjal,vegetables,1812,38756.67
SHEIKHPURA,Brinjal,vegetables,302,6744.67
SHEOHAR,Brinjal,vegetables,700,14059.83
SITAMARHI,Brinjal,vegetables,1312,27148.31
SIWAN,Brinjal,vegetables,1599,34978.13
SUPAUL,Brinjal,vegetables,601,13021.67
VAISHALI,Brinjal,vegetables,3208,6902152
ARARIA,Cabbage,vegetables,650.5,10408
ARWAL,Cabbage,vegetables,400,6800
AURANGABAD,Cabbage,vegetables,800,13000
BANKA,Cabbage,vegetables,400,7400
BEGUSARAI,Cabbage,vegetables,1715,18865
BHAGALPUR,Cabbage,vegetables,1200,23200
BHOJPUR,Cabbage,vegetables,800,13800
BUXAR,Cabbage,vegetables,610,9276.34
DARBHANGA,Cabbage,vegetables,1600,30300
GAYA,Cabbage,vegetables,800,800
GOPALGANJ,Cabbage,vegetables,1000,19400
JAMUI,Cabbage,vegetables,400,7000
JEHANABAD,Cabbage,vegetables,409,7668.75
KAIMUR (BHABUA),Cabbage,vegetables,405,7897.5
KATIHAR,Cabbage,vegetables,2300,38900
KHAGARIA,Cabbage,vegetables,709,12863.29
KISHANGANJ,Cabbage,vegetables,607,10622.5
LAKHISARAI,Cabbage,vegetables,-,-
MADHEPURA,Cabbage,vegetables,1500,26000
MADHUBANI,Cabbage,vegetables,1500,27100
MUNGER,Cabbage,vegetables,600,10400
MUZAFFARPUR,Cabbage,vegetables,2880,52457.14
NALANDA,Cabbage,vegetables,1610,33206.5
NAWADA,Cabbage,vegetables,820,13325
PASHCHIM CHAMPARAN,Cabbage,vegetables,1500,32142.85
PATNA,Cabbage,vegetables,3000,40000
PURBI CHAMPARAN,Cabbage,vegetables,1600,30186.79
PURNIA,Cabbage,vegetables,1201,24620.5
ROHTAS,Cabbage,vegetables,611,10896.17
SAHARSA,Cabbage,vegetables,1012,17204
SAMASTIPUR,Cabbage,vegetables,1911,38722.89
SARAN,Cabbage,vegetables,913,18361.45
SHEIKHPURA,Cabbage,vegetables,212,3922
SHEOHAR,Cabbage,vegetables,701,11917
SITAMARHI,Cabbage,vegetables,906,17918.67
SIWAN,Cabbage,vegetables,899,16481.67
SUPAUL,Cabbage,vegetables,500.95,7814.82
VAISHALI,Cabbage,vegetables,2501,55022
ARARIA,Carrot,vegetables,100,900
ARWAL,Carrot,vegetables,150,1050
AURANGABAD,Carrot,vegetables,100,1000
BANKA,Carrot,vegetables,,400
BEGUSARAI,Carrot,vegetables,100,1700
BHAGALPUR,Carrot,vegetables,100,1800
BHOJPUR,Carrot,vegetables,100,1300
BUXAR,Carrot,vegetables,100,1000
DARBHANGA,Carrot,vegetables,100,500
GAYA,Carrot,vegetables,1100,1100
GOPALGANJ,Carrot,vegetables,100,1400
JAMUI,Carrot,vegetables,,200
JEHANABAD,Carrot,vegetables,100,800
KAIMUR (BHABUA),Carrot,vegetables,100,700
KATIHAR,Carrot,vegetables,1500,1700
KHAGARIA,Carrot,vegetables,100,900
KISHANGANJ,Carrot,vegetables,100,1100
LAKHISARAI,Carrot,vegetables,-,-
MADHEPURA,Carrot,vegetables,100,1400
MADHUBANI,Carrot,vegetables,99,1584
MUNGER,Carrot,vegetables,100,1100
MUZAFFARPUR,Carrot,vegetables,300,3200
NALANDA,Carrot,vegetables,300,3400
NAWADA,Carrot,vegetables,,1000
PASHCHIM CHAMPARAN,Carrot,vegetables,200,2800
PATNA,Carrot,vegetables,300,3200
PURBI CHAMPARAN,Carrot,vegetables,1400,1700
PURNIA,Carrot,vegetables,100,1600
ROHTAS,Carrot,vegetables,100,900
SAHARSA,Carrot,vegetables,100,1500
SAMASTIPUR,Carrot,vegetables,200,2600
SARAN,Carrot,vegetables,100,1400
SHEIKHPURA,Carrot,vegetables,,200
SHEOHAR,Carrot,vegetables,100,1100
SITAMARHI,Carrot,vegetables,100,1400
SIWAN,Carrot,vegetables,1200,1500
SUPAUL,Carrot,vegetables,100,1100
VAISHALI,Carrot,vegetables,300,3500
ARARIA,Cauliflower,vegetables,810,14985
ARWAL,Cauliflower,vegetables,400,8100
AURANGABAD,Cauliflower,vegetables,1200,24171.43
BANKA,Cauliflower,vegetables,811,12570.47
BEGUSARAI,Cauliflower,vegetables,1820,35287.78
BHAGALPUR,Cauliflower,vegetables,1700,29200
BHOJPUR,Cauliflower,vegetables,1110,21695.25
BUXAR,Cauliflower,vegetables,700,12700
DARBHANGA,Cauliflower,vegetables,1650,29390.63
GAYA,Cauliflower,vegetables,2002,2002
GOPALGANJ,Cauliflower,vegetables,1900,33900
JAMUI,Cauliflower,vegetables,402,7537.5
JEHANABAD,Cauliflower,vegetables,516,10010.4
KAIMUR (BHABUA),Cauliflower,vegetables,807,13618.13
KATIHAR,Cauliflower,vegetables,3015,2125.5
KHAGARIA,Cauliflower,vegetables,1311,21581.08
KISHANGANJ,Cauliflower,vegetables,911,16094.33
LAKHISARAI,Cauliflower,vegetables,-,-
MADHEPURA,Cauliflower,vegetables,1820,31243.33
MADHUBANI,Cauliflower,vegetables,2600,45800
MUNGER,Cauliflower,vegetables,810,13466.25
MUZAFFARPUR,Cauliflower,vegetables,3420,66445.71
NALANDA,Cauliflower,vegetables,3100,60000
NAWADA,Cauliflower,vegetables,1500,24535.71
PASHCHIM CHAMPARAN,Cauliflower,vegetables,3000,55241.37
PATNA,Cauliflower,vegetables,4000,1368.42
PURBI CHAMPARAN,Cauliflower,vegetables,2900,39205.36
PURNIA,Cauliflower,vegetables,2110,35367.61
ROHTAS,Cauliflower,vegetables,1312,22102.15
SAHARSA,Cauliflower,vegetables,1810,31675
SAMASTIPUR,Cauliflower,vegetables,3012,59738
SARAN,Cauliflower,vegetables,2912,38157.24
SHEIKHPURA,Cauliflower,vegetables,215,4730
SHEOHAR,Cauliflower,vegetables,812,15225
SITAMARHI,Cauliflower,vegetables,1412,24407.43
SIWAN,Cauliflower,vegetables,1601,28417.75
SUPAUL,Cauliflower,vegetables,701.5,11725.07
VAISHALI,Cauliflower,vegetables,5995,99916.67
ARARIA,Cucumber,vegetables,,200
ARWAL,Cucumber,vegetables,-,-
AURANGABAD,Cucumber,vegetables,,300
BANKA,Cucumber,vegetables,,300
BEGUSARAI,Cucumber,vegetables,100,800
BHAGALPUR,Cucumber,vegetables,100,1100
BHOJPUR,Cucumber,vegetables,100,1000
BUXAR,Cucumber,vegetables,,400
DARBHANGA,Cucumber,vegetables,,500
GAYA,Cucumber,vegetables,-,-
GOPALGANJ,Cucumber,vegetables,,300
JAMUI,Cucumber,vegetables,,300
JEHANABAD,Cucumber,vegetables,,500
KAIMUR (BHABUA),Cucumber,vegetables,,300
KATIHAR,Cucumber,vegetables,800,800
KHAGARIA,Cucumber,vegetables,,400
KISHANGANJ,Cucumber,vegetables,,300
LAKHISARAI,Cucumber,vegetables,-,-
MADHEPURA,Cucumber,vegetables,100,600
MADHUBANI,Cucumber,vegetables,,500
MUNGER,Cucumber,vegetables,100,1000
MUZAFFARPUR,Cucumber,vegetables,100,1200
NALANDA,Cucumber,vegetables,100,46500
NAWADA,Cucumber,vegetables,,400
PASHCHIM CHAMPARAN,Cucumber,vegetables,100,700
PATNA,Cucumber,vegetables,100,1300
PURBI CHAMPARAN,Cucumber,vegetables,100,600
PURNIA,Cucumber,vegetables,700,800
ROHTAS,Cucumber,vegetables,,300
SAHARSA,Cucumber,vegetables,100,700
SAMASTIPUR,Cucumber,vegetables,100,1300
SARAN,Cucumber,vegetables,400,500
SHEIKHPURA,Cucumber,vegetables,,300
SHEOHAR,Cucumber,vegetables,,300
SITAMARHI,Cucumber,vegetables,400,400
SIWAN,Cucumber,vegetables,,300
SUPAUL,Cucumber,vegetables,,200
VAISHALI,Cucumber,vegetables,100,1600
ARARIA,Elephant Foot,vegetables,,300
ARWAL,Elephant Foot,vegetables,,400
AURANGABAD,Elephant Foot,vegetables,,300
BANKA,Elephant Foot,vegetables,-,-
BEGUSARAI,Elephant Foot,vegetables,,2300
BHAGALPUR,Elephant Foot,vegetables,,800
BHOJPUR,Elephant Foot,vegetables,,4900
BUXAR,Elephant Foot,vegetables,100,400
DARBHANGA,Elephant Foot,vegetables,,500
GAYA,Elephant Foot,vegetables,-,-
GOPALGANJ,Elephant Foot,vegetables,,500
JAMUI,Elephant Foot,vegetables,,200
JEHANABAD,Elephant Foot,vegetables,,300
KAIMUR (BHABUA),Elephant Foot,vegetables,,200
KATIHAR,Elephant Foot,vegetables,,800
KHAGARIA,Elephant Foot,vegetables,,400
KISHANGANJ,Elephant Foot,vegetables,,300
LAKHISARAI,Elephant Foot,vegetables,-,-
MADHEPURA,Elephant Foot,vegetables,,400
MADHUBANI,Elephant Foot,vegetables,,400
MUNGER,Elephant Foot,vegetables,,800
MUZAFFARPUR,Elephant Foot,vegetables,100,4700
NALANDA,Elephant Foot,vegetables,,500
NAWADA,Elephant Foot,vegetables,,300
PASHCHIM CHAMPARAN,Elephant Foot,vegetables,,1000
PATNA,Elephant Foot,vegetables,,500
PURBI CHAMPARAN,Elephant Foot,vegetables,,800
PURNIA,Elephant Foot,vegetables,,900
ROHTAS,Elephant Foot,vegetables,,100
SAHARSA,Elephant Foot,vegetables,,500
SAMASTIPUR,Elephant Foot,vegetables,200,7000
SARAN,Elephant Foot,vegetables,,400
SHEIKHPURA,Elephant Foot,vegetables,,200
SHEOHAR,Elephant Foot,vegetables,,300
SITAMARHI,Elephant Foot,vegetables,,1000
SIWAN,Elephant Foot,vegetables,,700
SUPAUL,Elephant Foot,vegetables,,300
VAISHALI,Elephant Foot,vegetables,100,2800
ARARIA,Green Chilly,vegetables,500,5300
ARWAL,Green Chilly,vegetables,310,3926.68
AURANGABAD,Green Chilly,vegetables,709,7900.29
BANKA,Green Chilly,vegetables,503,5834.8
BEGUSARAI,Green Chilly,vegetables,1710,19413.53
BHAGALPUR,Green Chilly,vegetables,1200,15709.1
BHOJPUR,Green Chilly,vegetables,600,7800
BUXAR,Green Chilly,vegetables,500,6000
DARBHANGA,Green Chilly,vegetables,1410,16114.29
GAYA,Green Chilly,vegetables,1500,1500
GOPALGANJ,Green Chilly,vegetables,1000,11400
JAMUI,Green Chilly,vegetables,900,9400
JEHANABAD,Green Chilly,vegetables,407,4578.75
KAIMUR (BHABUA),Green Chilly,vegetables,402,4522.5
KATIHAR,Green Chilly,vegetables,2010,23014.5
KHAGARIA,Green Chilly,vegetables,1015,11063.5
KISHANGANJ,Green Chilly,vegetables,608,65866.67
LAKHISARAI,Green Chilly,vegetables,-,-
MADHEPURA,Green Chilly,vegetables,700,7900
MADHUBANI,Green Chilly,vegetables,1210,14318.33
MUNGER,Green Chilly,vegetables,1090,13377.27
MUZAFFARPUR,Green Chilly,vegetables,1840,22488.88
NALANDA,Green Chilly,vegetables,4000,2000
NAWADA,Green Chilly,vegetables,820,9327.5
PASHCHIM CHAMPARAN,Green Chilly,vegetables,1500,16875
PATNA,Green Chilly,vegetables,2650,38277.77
PURBI CHAMPARAN,Green Chilly,vegetables,80,10640
PURNIA,Green Chilly,vegetables,1390,15786.42
ROHTAS,Green Chilly,vegetables,6012,6813.6
SAHARSA,Green Chilly,vegetables,712,8544
SAMASTIPUR,Green Chilly,vegetables,1510,17616.67
SARAN,Green Chilly,vegetables,1212,13433
SHEIKHPURA,Green Chilly,vegetables,710,7911.43
SHEOHAR,Green Chilly,vegetables,501,5010
SITAMARHI,Green Chilly,vegetables,712,8442.28
SIWAN,Green Chilly,vegetables,1101,13612.36
SUPAUL,Green Chilly,vegetables,401,4110.25
VAISHALI,Green Chilly,vegetables,1801,21011.67
ARARIA,Kaddu/Pumpkin,vegetables,,200
ARWAL,Kaddu/Pumpkin,vegetables,,700
AURANGABAD,Kaddu/Pumpkin,vegetables,,300
BANKA,Kaddu/Pumpkin,vegetables,,200
BEGUSARAI,Kaddu/Pumpkin,vegetables,,300
BHAGALPUR,Kaddu/Pumpkin,vegetables,,500
BHOJPUR,Kaddu/Pumpkin,vegetables,,400
BUXAR,Kaddu/Pumpkin,vegetables,,300
DARBHANGA,Kaddu/Pumpkin,vegetables,,300
GAYA,Kaddu/Pumpkin,vegetables,-,-
GOPALGANJ,Kaddu/Pumpkin,vegetables,,200
JAMUI,Kaddu/Pumpkin,vegetables,,200
JEHANABAD,Kaddu/Pumpkin,vegetables,,800
KAIMUR (BHABUA),Kaddu/Pumpkin,vegetables,,200
KATIHAR,Kaddu/Pumpkin,vegetables,,400
KHAGARIA,Kaddu/Pumpkin,vegetables,,300
KISHANGANJ,Kaddu/Pumpkin,vegetables,,300
LAKHISARAI,Kaddu/Pumpkin,vegetables,,200
MADHEPURA,Kaddu/Pumpkin,vegetables,,200
MADHUBANI,Kaddu/Pumpkin,vegetables,,400
MUNGER,Kaddu/Pumpkin,vegetables,,500
MUZAFFARPUR,Kaddu/Pumpkin,vegetables,,600
NALANDA,Kaddu/Pumpkin,vegetables,,500
NAWADA,Kaddu/Pumpkin,vegetables,,300
PASHCHIM CHAMPARAN,Kaddu/Pumpkin,vegetables,,500
PATNA,Kaddu/Pumpkin,vegetables,,800
PURBI CHAMPARAN,Kaddu/Pumpkin,vegetables,,300
PURNIA,Kaddu/Pumpkin,vegetables,,200
ROHTAS,Kaddu/Pumpkin,vegetables,,200
SAHARSA,Kaddu/Pumpkin,vegetables,,300
SAMASTIPUR,Kaddu/Pumpkin,vegetables,,600
SARAN,Kaddu/Pumpkin,vegetables,,300
SHEIKHPURA,Kaddu/Pumpkin,vegetables,,200
SHEOHAR,Kaddu/Pumpkin,vegetables,,300
SITAMARHI,Kaddu/Pumpkin,vegetables,,400
SIWAN,Kaddu/Pumpkin,vegetables,,400
SUPAUL,Kaddu/Pumpkin,vegetables,,100
VAISHALI,Kaddu/Pumpkin,vegetables,,100
ARARIA,Okra /Ladies Finger,vegetables,800,10600.0
ARWAL,Okra /Ladies Finger,vegetables,200,2400.0
AURANGABAD,Okra /Ladies Finger,vegetables,1450,18286.12
BANKA,Okra /Ladies Finger,vegetables,900,11400.0
BEGUSARAI,Okra /Ladies Finger,vegetables,2402,32827.0
BHAGALPUR,Okra /Ladies Finger,vegetables,1500,32142.86
BHOJPUR,Okra /Ladies Finger,vegetables,1605,21968.44
BUXAR,Okra /Ladies Finger,vegetables,1312,15441.24
DARBHANGA,Okra /Ladies Finger,vegetables,1600,20200.0
GAYA,Okra /Ladies Finger,vegetables,1900,1900.0
GOPALGANJ,Okra /Ladies Finger,vegetables,2000,29200.0
JAMUI,Okra /Ladies Finger,vegetables,805,9760.63
JEHANABAD,Okra /Ladies Finger,vegetables,613,8071.17
KAIMUR (BHABUA),Okra /Ladies Finger,vegetables,906,11375.33
KATIHAR,Okra /Ladies Finger,vegetables,1807,24595.28
KHAGARIA,Okra /Ladies Finger,vegetables,1307,21314.15
KISHANGANJ,Okra /Ladies Finger,vegetables,810,11137.5
LAKHISARAI,Okra /Ladies Finger,vegetables,304,4661.33
MADHEPURA,Okra /Ladies Finger,vegetables,1110,14530.91
MADHUBANI,Okra /Ladies Finger,vegetables,1590,21862.5
MUNGER,Okra /Ladies Finger,vegetables,1000,11181.81
MUZAFFARPUR,Okra /Ladies Finger,vegetables,2520,37195.2
NALANDA,Okra /Ladies Finger,vegetables,3000,42517.24
NAWADA,Okra /Ladies Finger,vegetables,1920,24151.57
PASHCHIM CHAMPARAN,Okra /Ladies Finger,vegetables,2575,30900.0
PATNA,Okra /Ladies Finger,vegetables,3100,42366.66
PURBI CHAMPARAN,Okra /Ladies Finger,vegetables,3000,39111.11
PURNIA,Okra /Ladies Finger,vegetables,1305,17165.77
ROHTAS,Okra /Ladies Finger,vegetables,1409,19021.5
SAHARSA,Okra /Ladies Finger,vegetables,1210,16032.5
SAMASTIPUR,Okra /Ladies Finger,vegetables,1711,24658.53
SARAN,Okra /Ladies Finger,vegetables,2102,25023.81
SHEIKHPURA,Okra /Ladies Finger,vegetables,309,4429.0
SHEOHAR,Okra /Ladies Finger,vegetables,612,8058.0
SITAMARHI,Okra /Ladies Finger,vegetables,1002,14629.2
SIWAN,Okra /Ladies Finger,vegetables,2000.96,26012.48
SUPAUL,Okra /Ladies Finger,vegetables,801,9812.25
VAISHALI,Okra /Ladies Finger,vegetables,3500.59,50008.43
ARARIA,Onion,vegetables,1503,32314.5
ARWAL,Onion,vegetables,400,9900
AURANGABAD,Onion,vegetables,1120,25487.26
BANKA,Onion,vegetables,710,15721.43
BEGUSARAI,Onion,vegetables,2000,42400
BHAGALPUR,Onion,vegetables,1605,40366.31
BHOJPUR,Onion,vegetables,1200,26000
BUXAR,Onion,vegetables,1000,25111.12
DARBHANGA,Onion,vegetables,1000,25000
GAYA,Onion,vegetables,1405,1405
GOPALGANJ,Onion,vegetables,900,18600
JAMUI,Onion,vegetables,809,22393.77
JEHANABAD,Onion,vegetables,516,13519.2
KAIMUR (BHABUA),Onion,vegetables,1012,20948.4
KATIHAR,Onion,vegetables,3907,83249.15
KHAGARIA,Onion,vegetables,804,17386.5
KISHANGANJ,Onion,vegetables,1411,31646.71
LAKHISARAI,Onion,vegetables,407,10276.75
MADHEPURA,Onion,vegetables,1000,22600
MADHUBANI,Onion,vegetables,1000,23000
MUNGER,Onion,vegetables,1100,26950
MUZAFFARPUR,Onion,vegetables,2690,69319.23
NALANDA,Onion,vegetables,5500,146666.66
NAWADA,Onion,vegetables,999,21778.2
PASHCHIM CHAMPARAN,Onion,vegetables,2400,61922.59
PATNA,Onion,vegetables,2700,65423.07
PURBI CHAMPARAN,Onion,vegetables,2500,61770.83
PURNIA,Onion,vegetables,1801,42500
ROHTAS,Onion,vegetables,1209,27504.75
SAHARSA,Onion,vegetables,612,15300
SAMASTIPUR,Onion,vegetables,1403,30465.14
SARAN,Onion,vegetables,1012,18216
SHEIKHPURA,Onion,vegetables,1312,30276.93
SHEOHAR,Onion,vegetables,702,17349.43
SITAMARHI,Onion,vegetables,1303,32575
SIWAN,Onion,vegetables,902,21046.67
SUPAUL,Onion,vegetables,400.95,8520.18
VAISHALI,Onion,vegetables,1802,44048.89
ARARIA,Peas (Green),vegetables,200,1000
ARWAL,Peas (Green),vegetables,100,500
AURANGABAD,Peas (Green),vegetables,100,800
BANKA,Peas (Green),vegetables,100,400
BEGUSARAI,Peas (Green),vegetables,300,2400
BHAGALPUR,Peas (Green),vegetables,400,2900
BHOJPUR,Peas (Green),vegetables,400,3100
BUXAR,Peas (Green),vegetables,202,1300
DARBHANGA,Peas (Green),vegetables,300,2200
GAYA,Peas (Green),vegetables,500,500
GOPALGANJ,Peas (Green),vegetables,200,1200
JAMUI,Peas (Green),vegetables,,100
JEHANABAD,Peas (Green),vegetables,103,412
KAIMUR (BHABUA),Peas (Green),vegetables,100,500
KATIHAR,Peas (Green),vegetables,400,3100
KHAGARIA,Peas (Green),vegetables,700,1100
KISHANGANJ,Peas (Green),vegetables,200,1200
LAKHISARAI,Peas (Green),vegetables,100,600
MADHEPURA,Peas (Green),vegetables,200,1600
MADHUBANI,Peas (Green),vegetables,320,2133.33
MUNGER,Peas (Green),vegetables,280,1586.66
MUZAFFARPUR,Peas (Green),vegetables,580,4350
NALANDA,Peas (Green),vegetables,500,3875
NAWADA,Peas (Green),vegetables,110,880
PASHCHIM CHAMPARAN,Peas (Green),vegetables,310,2010
PATNA,Peas (Green),vegetables,550,3960
PURBI CHAMPARAN,Peas (Green),vegetables,250,1750
PURNIA,Peas (Green),vegetables,395,276.5
ROHTAS,Peas (Green),vegetables,102,816
SAHARSA,Peas (Green),vegetables,301,2107
SAMASTIPUR,Peas (Green),vegetables,401,3208
SARAN,Peas (Green),vegetables,412,2575
SHEIKHPURA,Peas (Green),vegetables,,200
SHEOHAR,Peas (Green),vegetables,201,1005
SITAMARHI,Peas (Green),vegetables,212,1484
SIWAN,Peas (Green),vegetables,202,1313
SUPAUL,Peas (Green),vegetables,201,1005
VAISHALI,Peas (Green),vegetables,612,4794
ARARIA,Pointed Gourd,vegetables,105,630
ARWAL,Pointed Gourd,vegetables,100,600
AURANGABAD,Pointed Gourd,vegetables,,300
BANKA,Pointed Gourd,vegetables,-,-
BEGUSARAI,Pointed Gourd,vegetables,200,2500
BHAGALPUR,Pointed Gourd,vegetables,300,3000
BHOJPUR,Pointed Gourd,vegetables,200,2500
BUXAR,Pointed Gourd,vegetables,100,1400
DARBHANGA,Pointed Gourd,vegetables,200,1800
GAYA,Pointed Gourd,vegetables,-,-
GOPALGANJ,Pointed Gourd,vegetables,100,1400
JAMUI,Pointed Gourd,vegetables,,300
JEHANABAD,Pointed Gourd,vegetables,,400
KAIMUR (BHABUA),Pointed Gourd,vegetables,,200
KATIHAR,Pointed Gourd,vegetables,409,3476.5
KHAGARIA,Pointed Gourd,vegetables,205,1947.5
KISHANGANJ,Pointed Gourd,vegetables,105,735
LAKHISARAI,Pointed Gourd,vegetables,200,1700
MADHEPURA,Pointed Gourd,vegetables,210,2730
MADHUBANI,Pointed Gourd,vegetables,120,1800
MUNGER,Pointed Gourd,vegetables,310,3616.66
MUZAFFARPUR,Pointed Gourd,vegetables,410,4202.5
NALANDA,Pointed Gourd,vegetables,,300
NAWADA,Pointed Gourd,vegetables,,200
PASHCHIM CHAMPARAN,Pointed Gourd,vegetables,210,2625
PATNA,Pointed Gourd,vegetables,500,5625
PURBI CHAMPARAN,Pointed Gourd,vegetables,200,2500
PURNIA,Pointed Gourd,vegetables,310,2893.33
ROHTAS,Pointed Gourd,vegetables,102,204
